date,mean late autumn bottom oxygen concentration
1949,0.0
1950,0.54
1953,0.0
1954,0.0
1956,1.91
1957,0.25
1958,2.12
1959,0.0
1960,0.21
1961,0.0
1962,0.0
1963,0.0
1964,0.05
1965,2.53
1966,0.07
1967,0.19
1968,0.07
1969,1.12
1970,0.41
1971,0.0
1972,0.01
1973,0.02
1974,0.07
1975,0.0
1976,0.0
1977,0.07
1978,0.06
1979,0.52
1980,1.34
1981,0.82
1982,0.0
1983,0.29
1984,0.0
1985,0.01
1986,0.24
1987,0.02
1988,0.82
1989,0.13
1990,0.06
1991,0.17
1992,0.15
1993,0.14
1994,0.12
1995,0.48
1996,0.12
1997,0.12
1998,1.83
1999,0.51
2000,0.15
2001,0.53
2002,0.01
2003,0.1
2004,0.1
2005,0.0
2006,0.1
2007,2.23
2008,0.08
2009,0.03
2010,0.17
2011,0.06
2012,0.05
2013,0.16
2014,0.15
2015,0.2
2016,0.3
2017,0.3
2018,0.4
2019,0.0
2020,0.12
2021,0.32
2022,0.43
2023,0.04
