date,mean late autumn Schmidt stability
1949,129.75
1950,60.6
1953,127.88
1954,116.68
1956,66.76
1957,105.8
1958,99.3
1959,101.67
1960,81.5
1961,150.86
1962,103.07
1963,151.22
1964,80.28
1965,107.16
1966,104.89
1967,151.47
1968,187.44
1969,208.98
1970,124.07
1971,127.92
1972,61.44
1973,58.65
1974,20.94
1975,93.78
1976,127.46
1977,146.07
1978,112.35
1979,119.32
1980,49.54
1981,77.72
1982,122.95
1983,98.87
1984,157.64
1985,102.5
1986,150.92
1987,201.17
1988,116.22
1989,168.78
1990,130.5
1991,89.36
1992,72.32
1993,88.33
1994,157.86
1995,158.89
1996,125.94
1997,91.75
1998,92.53
1999,149.86
2000,167.86
2001,126.6
2002,111.85
2003,96.13
2004,144.54
2005,234.94
2006,243.71
2007,103.57
2008,129.82
2009,161.92
2010,130.6
2011,198.17
2012,146.46
2013,182.12
2014,258.65
2015,173.12
2016,152.44
2017,198.42
2018,208.64
2019,219.82
2020,185.21
2021,169.0
2022,298.93
2023,193.56
