date,mean spring bottom oxygen concentration
1949,10.13
1950,10.07
1951,9.42
1953,2.27
1954,6.53
1956,8.21
1957,5.09
1958,11.18
1959,4.45
1960,3.19
1961,2.48
1962,10.8
1963,0.11
1964,1.66
1965,1.8
1966,6.64
1967,6.27
1968,6.76
1969,6.95
1970,8.54
1971,0.2
1972,0.15
1973,5.23
1974,0.84
1975,5.91
1976,1.04
1977,2.17
1978,8.21
1979,5.17
1980,8.87
1981,1.99
1982,7.31
1983,6.92
1984,8.07
1985,2.97
1986,9.34
1987,9.19
1988,8.73
1989,6.33
1990,5.09
1991,4.5
1992,9.33
1993,6.57
1994,8.72
1995,9.77
1996,10.54
1997,6.63
1998,7.54
1999,7.68
2000,5.83
2001,7.32
2002,7.06
2003,7.72
2004,8.6
2005,9.43
2006,7.64
2007,5.22
2008,9.17
2009,7.76
2010,7.24
2011,4.09
2012,4.51
2013,5.0
2014,2.19
2015,7.82
2016,8.09
2017,5.69
2018,9.39
2019,7.7
2020,8.19
2021,7.13
2022,8.15
2023,6.01
