date,mean spring epilimnion 0-10 m oxygen concentration
1949,13.22
1950,13.09
1951,12.58
1953,12.87
1954,11.87
1956,12.81
1957,11.06
1958,11.85
1959,11.03
1960,10.3
1961,9.39
1962,12.9
1963,7.72
1964,9.11
1965,9.25
1966,11.7
1967,9.99
1968,16.32
1969,9.94
1970,11.86
1971,9.85
1972,8.21
1973,8.27
1974,11.45
1975,10.65
1976,12.72
1977,12.45
1978,12.42
1979,10.53
1980,11.7
1981,11.54
1982,11.53
1983,11.28
1984,14.25
1985,10.95
1986,12.07
1987,13.59
1988,12.91
1989,10.92
1990,12.35
1991,11.99
1992,11.39
1993,15.46
1994,12.76
1995,12.03
1996,14.09
1997,11.73
1998,13.1
1999,11.99
2000,13.64
2001,11.34
2002,11.33
2003,12.72
2004,12.43
2005,12.87
2006,12.83
2007,11.77
2008,12.4
2009,13.59
2010,11.83
2011,13.22
2012,13.44
2013,12.73
2014,12.01
2015,12.27
2016,13.49
2017,12.04
2018,14.3
2019,12.34
2020,13.56
2021,11.44
2022,12.54
2023,11.25
