date,mean spring surface oxygen concentration
1949,19.09
1950,13.2
1951,14.0
1953,14.38
1954,13.34
1956,14.21
1957,11.52
1958,12.16
1959,13.83
1960,13.78
1961,11.86
1962,14.59
1963,17.37
1964,11.1
1965,9.92
1966,15.45
1967,10.57
1968,31.9
1969,10.59
1970,14.27
1971,19.29
1972,12.31
1973,9.0
1974,22.92
1975,11.39
1976,14.19
1977,14.3
1978,14.76
1979,10.97
1980,12.37
1981,14.05
1982,11.81
1983,12.69
1984,14.9
1985,11.87
1986,14.01
1987,15.24
1988,14.9
1989,11.67
1990,13.89
1991,12.72
1992,11.77
1993,16.69
1994,14.18
1995,12.55
1996,15.8
1997,12.26
1998,14.88
1999,12.44
2000,14.59
2001,11.47
2002,11.67
2003,14.11
2004,12.77
2005,13.54
2006,13.36
2007,13.04
2008,13.18
2009,14.01
2010,12.71
2011,13.85
2012,14.05
2013,12.94
2014,12.3
2015,13.32
2016,15.47
2017,13.78
2018,14.89
2019,13.17
2020,14.03
2021,11.64
2022,12.71
2023,11.4
