date,mean spring surface temperature
1949,12.83
1950,8.26
1951,8.66
1953,9.14
1954,6.54
1956,8.43
1957,8.65
1958,5.94
1959,11.27
1960,10.05
1961,11.07
1962,6.79
1963,8.04
1964,8.06
1965,5.93
1966,11.41
1967,10.71
1968,10.19
1969,6.67
1970,7.79
1971,13.91
1972,10.03
1973,7.58
1974,11.28
1975,7.86
1976,8.14
1977,8.6
1978,7.98
1979,6.79
1980,6.65
1981,8.87
1982,7.59
1983,9.37
1984,7.56
1985,8.05
1986,7.17
1987,7.92
1988,10.58
1989,9.9
1990,9.46
1991,8.84
1992,8.0
1993,10.24
1994,10.54
1995,8.64
1996,9.44
1997,9.39
1998,9.27
1999,9.38
2000,10.47
2001,8.05
2002,10.1
2003,9.02
2004,8.04
2005,9.32
2006,8.19
2007,12.29
2008,9.18
2009,11.45
2010,8.84
2011,10.87
2012,11.76
2013,6.64
2014,12.67
2015,10.31
2016,10.14
2017,11.03
2018,10.59
2019,9.68
2020,11.78
2021,9.1
2022,10.82
2023,10.4
