date,mean summer bottom oxygen concentration
1949,0.31
1950,0.47
1951,0.37
1953,0.13
1954,0.31
1956,0.2
1957,0.14
1958,0.24
1959,0.48
1960,0.0
1961,0.23
1962,0.2
1963,0.16
1964,0.24
1965,0.15
1966,0.2
1967,0.13
1968,0.2
1969,0.18
1970,0.1
1971,0.21
1972,0.0
1973,0.1
1974,0.1
1975,0.14
1977,0.19
1978,0.2
1979,0.15
1980,0.18
1981,0.15
1982,0.0
1983,0.04
1984,0.2
1985,0.07
1986,0.14
1987,0.21
1988,0.41
1989,0.04
1990,0.1
1991,0.16
1992,0.15
1993,0.19
1994,0.3
1995,0.48
1996,0.48
1997,0.2
1998,0.08
1999,0.86
2000,0.46
2001,0.26
2002,0.28
2003,0.35
2004,0.25
2005,0.93
2006,0.2
2007,0.03
2008,0.19
2009,1.43
2010,0.41
2011,0.09
2012,0.31
2013,0.51
2014,0.0
2015,0.27
2016,0.4
2017,0.3
2018,0.76
2019,0.43
2020,0.02
2021,0.49
2022,0.48
2023,0.43
