date,mean summer epilimnion 0-5 m oxygen concentration
1949,10.05
1950,11.72
1951,9.59
1953,11.72
1954,10.32
1956,12.08
1957,12.1
1958,13.91
1959,13.02
1960,11.84
1961,10.66
1962,14.74
1963,12.87
1964,12.88
1965,13.95
1966,12.81
1967,10.54
1968,14.92
1969,15.49
1970,12.27
1971,17.72
1972,12.15
1973,11.17
1974,14.58
1975,11.56
1977,10.04
1978,14.09
1979,14.08
1980,14.18
1981,13.88
1982,13.98
1983,11.15
1984,10.29
1985,13.74
1986,14.09
1987,13.55
1988,12.6
1989,12.39
1990,11.89
1991,11.19
1992,13.39
1993,11.35
1994,12.17
1995,12.38
1996,12.89
1997,13.32
1998,13.08
1999,11.76
2000,10.05
2001,12.59
2002,11.75
2003,12.13
2004,11.64
2005,11.79
2006,11.86
2007,10.52
2008,10.02
2009,11.98
2010,11.69
2011,11.09
2012,11.12
2013,10.26
2014,11.53
2015,11.75
2016,11.45
2017,10.96
2018,12.98
2019,13.11
2020,13.44
2021,10.83
2022,11.73
2023,10.89
