date,mean summer surface temperature
1949,21.43
1950,23.56
1951,20.11
1953,22.3
1954,18.65
1956,19.44
1957,22.39
1958,23.08
1959,23.66
1960,20.46
1961,22.77
1962,22.53
1963,23.5
1964,25.81
1965,22.19
1966,20.29
1967,22.48
1968,25.19
1969,21.39
1970,24.81
1971,22.67
1972,20.35
1973,20.48
1974,21.42
1975,21.25
1977,21.05
1978,20.5
1979,21.87
1980,19.75
1981,20.7
1982,21.37
1983,23.99
1984,20.04
1985,20.53
1986,23.06
1987,21.32
1988,22.99
1989,22.14
1990,21.48
1991,22.41
1992,22.88
1993,20.68
1994,23.02
1995,22.08
1996,21.19
1997,21.56
1998,23.77
1999,22.18
2000,20.14
2001,22.08
2002,22.5
2003,25.28
2004,21.85
2005,22.99
2006,22.7
2007,21.0
2008,21.41
2009,21.19
2010,23.07
2011,22.58
2012,23.05
2013,21.14
2014,21.87
2015,25.24
2016,22.42
2017,22.61
2018,24.78
2019,26.27
2020,23.95
2021,21.31
2022,24.88
2023,22.02
