date,mean summer thermocline depth
1949,6.0
1950,5.89
1951,6.3
1953,5.61
1954,6.84
1956,7.26
1957,5.79
1958,4.05
1959,4.86
1960,6.63
1961,4.63
1962,4.92
1963,5.66
1964,2.36
1965,4.25
1966,4.46
1967,3.44
1968,5.49
1969,6.72
1970,3.25
1971,4.99
1972,4.95
1973,6.99
1974,5.63
1975,5.62
1977,6.31
1978,6.02
1979,5.61
1980,6.1
1981,5.56
1982,6.05
1983,5.07
1984,7.19
1985,6.71
1986,4.47
1987,4.69
1988,5.69
1989,6.67
1990,5.73
1991,5.79
1992,6.11
1993,6.83
1994,5.77
1995,5.42
1996,5.95
1997,6.76
1998,6.45
1999,5.68
2000,6.77
2001,6.7
2002,5.99
2003,5.84
2004,6.02
2005,6.18
2006,6.44
2007,7.89
2008,6.0
2009,7.33
2010,5.16
2011,7.12
2012,6.48
2013,6.0
2014,6.68
2015,3.61
2016,4.45
2017,6.71
2018,6.31
2019,5.56
2020,7.0
2021,7.27
2022,6.3
2023,6.74
