date,mean winter Schmidt stability
1950,-0.76
1953,15.16
1957,0.89
1958,0.74
1959,7.23
1960,8.28
1961,3.32
1962,-0.16
1963,16.92
1964,14.16
1965,1.73
1967,3.04
1968,6.88
1969,4.37
1972,1.29
1973,8.67
1974,0.81
1975,0.23
1976,0.0
1977,7.17
1978,0.67
1981,10.83
1983,5.64
1984,0.25
1986,0.02
1988,0.42
1989,-0.4
1990,0.17
1991,0.07
1992,1.17
1994,0.03
1996,1.73
1998,-0.03
1999,1.18
2001,0.5
2002,0.06
2003,0.32
2004,-0.06
2005,4.72
2007,0.18
2008,0.01
2010,1.06
2011,0.12
2012,-0.14
2013,-0.24
2014,-0.8
2015,-0.37
2016,0.1
2017,1.41
2018,-0.47
2019,-0.3
2020,0.57
2021,0.04
2022,0.1
2023,0.51
