date,mean winter bottom temperature
1950,4.2
1953,3.78
1957,3.74
1958,3.7
1959,3.54
1960,4.9
1961,3.46
1962,3.77
1963,2.92
1964,3.96
1965,3.2
1967,3.81
1968,2.71
1969,3.5
1972,4.6
1973,3.68
1974,3.93
1975,4.53
1976,3.53
1977,4.15
1978,3.88
1981,3.0
1983,4.8
1984,3.89
1986,4.04
1988,5.11
1989,5.12
1990,4.05
1991,4.47
1992,4.01
1994,4.18
1996,4.18
1998,4.56
1999,3.76
2001,4.5
2002,3.39
2003,4.18
2004,4.17
2005,3.53
2007,5.75
2008,4.08
2010,3.32
2011,4.3
2012,4.88
2013,4.87
2014,4.65
2015,5.2
2016,5.54
2017,4.55
2018,5.24
2019,4.76
2020,5.64
2021,4.77
2022,5.32
2023,5.8
