date,mean winter epilimnion 5-10 m oxygen concentration
1950,8.74
1953,9.58
1957,6.32
1958,8.38
1959,8.47
1960,6.46
1961,5.5
1962,6.24
1963,5.48
1964,3.53
1965,2.97
1967,7.23
1968,8.32
1969,4.72
1972,4.4
1973,2.83
1974,5.25
1975,5.41
1976,4.37
1977,5.8
1978,4.77
1981,6.95
1983,6.82
1984,5.98
1986,6.43
1988,5.12
1989,6.16
1990,6.08
1991,6.75
1992,8.44
1994,9.1
1996,6.65
1998,7.69
1999,7.73
2001,5.7
2002,8.51
2003,7.62
2004,8.5
2005,9.0
2007,7.7
2008,8.09
2010,7.15
2011,7.49
2012,8.9
2013,11.05
2014,6.98
2015,7.07
2016,7.52
2017,7.04
2018,8.37
2019,8.15
2020,6.9
2021,7.92
2022,7.65
2023,8.0
