date,mean winter hypolimnetic density
1976,1000.2666
1977,1000.2657
1978,1000.2514
1981,1000.2708
1983,1000.294
1984,1000.29
1986,1000.2876
1988,1000.2638
1989,1000.265
1990,1000.278
1991,1000.3246
1992,1000.3141
1994,1000.2674
1996,1000.2782
1998,1000.2692
1999,1000.2796
2001,1000.2816
2002,1000.278
2003,1000.276
2004,1000.2744
2005,1000.2738
2007,1000.2609
2008,1000.2873
2010,1000.2884
2011,1000.3078
2012,1000.2798
2013,1000.2914
2014,1000.3183
2015,1000.2899
2016,1000.2661
2017,1000.2937
2018,1000.2806
2019,1000.2767
2020,1000.2728
2021,1000.2926
2022,1000.3012
2023,1000.2812
