date,minimum surface temperature
1950,4.1
1953,1.8
1954,0.2
1956,0.1
1957,3.1
1958,3.1
1959,3.4
1960,2.0
1961,2.5
1962,2.4
1963,0.5
1964,1.7
1965,2.4
1966,3.8
1967,3.0
1968,1.6
1969,2.3
1972,3.2
1973,1.5
1974,3.4
1975,4.6
1977,2.4
1978,2.95
1980,3.15
1983,4.9
1984,2.25
1986,3.95
1988,4.2
1989,4.5
1990,3.45
1991,3.5
1992,2.4
1993,2.7
1994,3.45
1995,4.0
1996,2.6
1998,3.2
1999,2.8
2000,3.55
2001,4.59
2002,3.31
2003,4.12
2004,3.63
2005,2.7
2006,2.74
2007,4.94
2008,3.69
2009,2.52
2010,2.42
2011,3.37
2012,3.68
2013,2.9
2014,4.24
2015,3.9
2016,5.1
2017,2.7
2018,3.15
2019,3.7
2020,5.5
2021,4.3
2022,4.7
2023,4.7
