date,mean annual heat content
1982,894304101.18
1983,972879371.61
1984,934449043.87
1985,916412353.24
1986,886472216.98
1987,876563814.4
1988,957435136.26
1989,1036543642.58
1990,989148956.3
1991,930161219.79
1992,926157323.75
1993,990371143.83
1994,1048214860.21
1995,1030747172.93
1996,909052718.3
1997,1035863251.34
1998,1028720309.4
1999,952618978.27
2000,1056080972.43
2001,1093345978.31
2002,1093714935.15
2003,1074966293.43
2004,1025589437.6
2005,1035319920.93
2006,975185229.62
2007,1082846735.97
2008,1033311136.16
2009,956583360.63
2010,963390917.57
2011,1056438534.52
2012,1076808431.71
2013,961644616.44
2014,1069427733.52
