date,mean autumn surface oxygen concentration
1938,9.83
1952,10.0
1958,8.75
1959,8.9
1974,10.34
1976,12.33
1982,9.69
1983,8.69
1984,10.41
1985,11.66
1986,13.23
1987,11.45
1988,10.32
1989,10.65
1990,13.43
1991,10.8
1992,8.85
1993,9.74
1994,12.42
1995,12.94
1996,12.01
1997,11.55
1998,12.06
1999,6.89
2000,10.16
2001,11.76
2002,10.5
2003,10.4
2004,10.9
2005,10.99
2006,9.65
2007,10.02
2008,12.62
2009,9.49
2010,10.03
2011,10.03
2012,10.91
2013,10.21
2014,10.61
2015,10.71
2016,9.25
2017,11.05
2018,11.62
2019,11.36
2020,11.21
2021,9.31
2022,11.78
2023,12.28
