date,mean spring epilimnion 5-10 m oxygen concentration
1938,8.93
1958,9.64
1959,8.17
1974,4.86
1977,7.01
1982,6.58
1983,9.75
1984,11.52
1985,11.41
1986,9.72
1987,10.98
1988,11.53
1989,10.92
1990,11.57
1991,10.79
1992,10.17
1993,12.83
1994,13.39
1995,11.75
1996,10.25
1997,12.68
1998,11.61
1999,11.55
2000,13.77
2001,10.57
2002,11.41
2003,12.39
2004,11.8
2005,11.37
2006,11.73
2007,10.13
2008,11.37
2009,11.9
2010,12.73
2011,11.94
2012,11.9
2013,10.74
2014,9.17
2015,10.57
2016,10.52
2017,10.89
2018,12.65
2019,12.28
2020,12.99
2021,12.83
2022,13.27
2023,11.42
