date,mean spring surface oxygen concentration
1938,13.17
1958,11.11
1959,14.84
1974,17.85
1977,9.73
1982,11.26
1983,11.2
1984,11.7
1985,13.16
1986,11.4
1987,13.46
1988,13.26
1989,13.48
1990,14.32
1991,13.09
1992,12.01
1993,13.5
1994,15.04
1995,12.64
1996,10.89
1997,12.63
1998,13.38
1999,17.61
2000,14.64
2001,11.95
2002,13.58
2003,12.78
2004,13.0
2005,12.93
2006,13.39
2007,11.44
2008,12.56
2009,12.45
2010,14.57
2011,12.83
2012,12.38
2013,11.46
2014,10.84
2015,11.72
2016,11.07
2017,11.87
2018,11.74
2019,12.54
2020,11.98
2021,12.43
2022,12.4
2023,12.14
