date,mean spring surface temperature
1938,11.26
1958,8.19
1959,12.86
1974,11.59
1977,9.93
1982,7.52
1983,8.19
1984,7.75
1985,7.47
1986,6.51
1987,6.77
1988,8.99
1989,9.2
1990,9.6
1991,7.57
1992,6.78
1993,9.38
1994,8.93
1995,8.98
1996,7.08
1997,9.15
1998,9.03
1999,10.59
2000,9.41
2001,8.83
2002,8.72
2003,9.89
2004,9.94
2005,11.67
2006,7.77
2007,11.19
2008,8.54
2009,9.64
2010,10.2
2011,10.19
2012,6.65
2013,7.6
2014,11.47
2015,12.15
2016,8.57
2017,12.44
2018,11.43
2019,10.02
2020,11.93
2021,9.01
2022,8.66
2023,9.19
