date,mean summer epilimnion 0-5 m oxygen concentration
1938,9.95
1958,13.0
1959,12.3
1966,13.82
1974,14.28
1976,12.28
1982,11.14
1983,17.26
1984,15.95
1985,17.26
1986,16.62
1987,11.12
1988,14.16
1989,15.94
1990,14.71
1991,15.94
1992,16.44
1993,12.1
1994,14.22
1995,13.22
1996,14.62
1997,13.61
1998,14.54
1999,13.78
2000,14.08
2001,16.25
2002,14.3
2003,13.97
2004,16.26
2005,12.73
2006,14.15
2007,13.14
2008,14.06
2009,11.77
2010,12.93
2011,12.28
2012,12.29
2013,16.64
2014,13.03
2015,14.28
2016,15.32
2017,13.55
2018,12.22
2019,10.8
2020,12.86
2021,14.27
2022,10.19
2023,11.98
