date,mean summer surface temperature
1938,19.02
1958,22.32
1959,21.55
1966,20.6
1974,21.77
1976,24.05
1982,20.6
1983,24.47
1984,22.58
1985,24.08
1986,23.16
1987,20.38
1988,22.46
1989,23.4
1990,22.75
1991,20.98
1992,25.36
1993,20.62
1994,24.68
1995,22.09
1996,21.5
1997,20.79
1998,23.67
1999,21.61
2000,21.93
2001,23.87
2002,23.57
2003,25.46
2004,23.24
2005,24.03
2006,25.16
2007,21.77
2008,22.66
2009,21.26
2010,22.11
2011,22.03
2012,20.9
2013,24.68
2014,22.8
2015,24.48
2016,21.75
2017,22.87
2018,25.2
2019,22.61
2020,23.17
2021,20.69
2022,24.01
2023,21.06
