date,mean annual heat content
1994,2250644791.57
1995,2144346624.99
1996,1890956093.66
1997,2171721865.95
1998,2084220957.78
1999,1993811097.33
2000,2076350511.21
2001,2173375634.31
2002,2112697226.16
2003,1998100194.93
2004,2108802072.56
2005,1927075746.19
2006,1908639337.96
2007,2233518791.33
2008,2086052948.65
2009,1965551990.02
2010,1878314138.14
2011,1890645130.49
2012,1997790541.3
2013,1958089295.13
2014,2199170017.24
2015,2199086557.87
2016,2231065187.48
2017,2080519841.98
2018,2084193816.48
2019,2318507491.28
2020,2263355313.5
2021,2191613806.29
2022,2188069607.11
2023,2272908879.02
