date,mean annual bottom conductivity
1970,294.35
1971,293.11
1972,283.47
1973,290.23
1974,298.69
1975,304.94
1976,302.13
1977,303.27
1978,307.31
1979,308.67
1980,306.53
1981,304.25
1982,304.0
1983,311.46
1984,306.42
1985,304.67
1986,305.9
1987,306.88
1988,309.03
1989,305.25
1990,305.23
1991,306.42
1992,307.06
1993,312.95
1994,313.26
1995,314.84
1996,316.76
1997,316.48
1998,312.24
1999,310.48
2000,311.21
2001,316.5
2002,317.13
2003,316.82
2004,315.59
2005,311.16
2006,311.6
2007,308.78
2008,314.48
2009,312.75
2010,319.42
2011,321.33
2012,304.66
2013,311.62
2014,315.23
2015,325.07
2016,326.03
2017,324.04
2018,325.95
2019,324.71
2020,329.44
2021,323.81
2022,329.45
2023,332.92
