date,mean annual bottom density
1970,1000.153
1971,1000.1565
1972,1000.1497
1973,1000.152
1974,1000.1568
1975,1000.1579
1976,1000.153
1977,1000.1495
1978,1000.1502
1979,1000.1491
1980,1000.1459
1981,1000.1557
1982,1000.1527
1983,1000.1543
1984,1000.1549
1985,1000.1578
1986,1000.1607
1987,1000.1637
1988,1000.1644
1989,1000.1613
1990,1000.1606
1991,1000.1573
1992,1000.1571
1993,1000.1591
1994,1000.1569
1995,1000.1542
1996,1000.1538
1997,1000.1488
1998,1000.1415
1999,1000.1483
2000,1000.1447
2001,1000.1497
2002,1000.1476
2003,1000.1488
2004,1000.1462
2005,1000.1563
2006,1000.1595
2008,1000.1578
2009,1000.1555
2010,1000.1605
2011,1000.1616
2012,1000.1601
2013,1000.1627
2014,1000.1627
2015,1000.1681
2016,1000.1656
2017,1000.1615
2018,1000.1586
2019,1000.1551
2020,1000.1559
2021,1000.1496
2022,1000.1499
2023,1000.1477
