date,mean annual bottom temperature
1970,5.13
1971,4.88
1972,4.92
1973,5.04
1974,5.08
1975,5.24
1976,5.38
1977,5.56
1978,5.63
1979,5.71
1980,5.77
1981,5.32
1982,5.45
1983,5.57
1984,5.42
1985,5.23
1986,5.12
1987,4.99
1988,5.03
1989,5.07
1990,5.11
1991,5.31
1992,5.36
1993,5.43
1994,5.53
1995,5.66
1996,5.73
1997,5.88
1998,6.02
1999,5.75
2000,5.91
2001,5.86
2002,5.94
2003,5.9
2004,5.95
2005,5.48
2006,5.37
2008,5.51
2009,5.57
2010,5.54
2011,5.55
2012,5.11
2013,5.22
2014,5.31
2015,5.4
2016,5.51
2017,5.62
2018,5.77
2019,5.86
2020,5.94
2021,6.02
2022,6.12
2023,6.25
