date,mean annual heat content
1970,3909085038.44
1971,3813261991.67
1972,4088374305.05
1973,4019304296.09
1974,4191848596.94
1975,4373218391.93
1976,4210262241.66
1977,4327559881.43
1978,4263986180.52
1979,4405336449.29
1980,4499878988.29
1981,4194943713.19
1982,4373658403.54
1983,4350246801.8
1984,4240272513.13
1985,4025335710.52
1986,3984021157.98
1987,3921688480.93
1988,4136720278.54
1989,4281536425.3
1990,4437639438.55
1991,4221554042.69
1992,4173369750.53
1993,4211393464.15
1994,4390316390.17
1995,4533856564.81
1996,4406658769.95
1997,4506395234.14
1998,4743173744.43
1999,4372171047.8
2000,4532814779.72
2001,4596154068.31
2002,4494099857.36
2003,4434683817.82
2004,4580370465.52
2005,4280345089.98
2006,4121483933.65
2008,4396743042.88
2009,4452924510.89
2010,4325533582.0
2011,4262880728.32
2012,4296677385.16
2013,4280052023.81
2014,4519024028.63
2015,4593911878.26
2016,4614032672.71
2017,4627523307.48
2018,4516979933.63
2019,4721847207.78
2020,4967655312.75
2021,4906598212.69
2022,4878676248.5
2023,5012106011.17
