date,mean autumn bottom temperature
1957,4.74
1958,4.9
1959,5.1
1960,5.14
1962,5.45
1963,4.6
1964,4.7
1966,4.85
1967,4.99
1968,5.05
1969,5.15
1970,5.16
1971,4.84
1972,4.98
1973,5.05
1974,5.11
1975,5.3
1976,5.48
1977,5.69
1978,5.63
1979,5.8
1980,5.78
1981,5.31
1982,5.4
1983,5.69
1984,5.4
1985,5.05
1986,5.2
1987,5.0
1988,5.11
1989,5.16
1990,5.18
1991,5.31
1992,5.38
1993,5.45
1994,5.55
1995,5.65
1996,5.75
1997,5.89
1998,5.91
1999,5.76
2000,6.01
2001,5.87
2002,5.98
2003,5.9
2004,5.93
2005,5.46
2006,5.35
2008,5.52
2009,5.57
2010,5.54
2011,5.56
2012,5.11
2013,5.25
2014,5.33
2015,5.42
2016,5.53
2017,5.64
2018,5.79
2019,5.87
2020,5.95
2021,6.05
2022,6.15
2023,6.27
