date,mean autumn epilimnion 5-10 m oxygen concentration
1957,7.63
1958,9.53
1959,10.02
1960,9.63
1961,10.27
1962,10.94
1963,9.25
1964,9.92
1966,9.84
1967,8.29
1968,8.6
1969,9.66
1970,9.78
1971,9.08
1972,9.45
1973,9.07
1974,9.39
1975,9.52
1976,9.69
1977,9.87
1978,10.28
1979,9.39
1980,8.96
1981,9.29
1982,9.82
1983,8.96
1984,10.08
1985,10.65
1986,8.61
1987,8.56
1988,9.28
1989,9.27
1990,9.14
1991,9.37
1992,8.89
1993,9.11
1994,9.74
1995,10.31
1996,9.88
1997,8.89
1998,9.5
1999,7.53
2000,8.79
2001,9.23
2002,7.8
2003,9.37
2004,9.29
2005,9.05
2006,9.43
2007,9.91
2008,9.84
2009,10.77
2010,9.79
2011,9.06
2012,9.59
2013,9.47
2014,9.03
2015,9.84
2016,8.23
2017,9.6
2018,8.92
2019,9.7
2020,9.53
2021,9.57
2022,9.65
2023,7.75
