date,mean autumn hypolimnetic density
1959,1000.1355
1960,1000.116
1962,1000.1048
1963,1000.1291
1964,1000.1233
1966,1000.1316
1967,1000.1337
1968,1000.1337
1969,1000.1186
1970,1000.1341
1971,1000.1456
1972,1000.1233
1973,1000.1166
1974,1000.1292
1975,1000.1178
1976,1000.1285
1977,1000.1102
1978,1000.1195
1979,1000.111
1980,1000.1057
1981,1000.1104
1982,1000.115
1983,1000.1253
1984,1000.1389
1985,1000.1487
1986,1000.1406
1987,1000.1442
1988,1000.1386
1989,1000.1026
1990,1000.1135
1991,1000.1247
1992,1000.1325
1993,1000.13
1994,1000.1212
1995,1000.1127
1996,1000.1166
1997,1000.1149
1998,1000.0976
1999,1000.1251
2000,1000.1115
2001,1000.106
2002,1000.1154
2003,1000.1198
2004,1000.1094
2005,1000.1322
2006,1000.1415
2008,1000.1214
2009,1000.1285
2010,1000.112
2011,1000.1385
2012,1000.1277
2013,1000.1295
2014,1000.1168
2015,1000.1301
2016,1000.1195
2017,1000.1208
2018,1000.1311
2019,1000.1067
2020,1000.1001
2021,1000.1005
2022,1000.1072
2023,1000.0933
