date,mean autumn hypolimnetic oxygen concentration
1957,8.28
1958,9.33
1959,8.17
1960,8.83
1962,10.14
1963,9.77
1964,9.72
1966,9.4
1967,8.73
1968,8.48
1969,8.32
1970,9.27
1971,9.07
1972,8.39
1973,8.64
1974,8.08
1975,7.86
1976,7.14
1977,7.11
1978,7.88
1979,8.1
1980,7.9
1981,8.8
1982,8.74
1983,8.54
1984,9.18
1985,9.31
1986,9.35
1987,8.65
1988,8.82
1989,7.97
1990,7.85
1991,7.9
1992,7.9
1993,7.34
1994,7.71
1995,7.36
1996,7.71
1997,7.59
1998,7.38
1999,8.09
2000,8.49
2001,8.02
2002,7.95
2003,7.82
2004,8.22
2005,8.78
2006,9.41
2007,8.18
2008,8.04
2009,8.58
2010,8.58
2011,8.36
2012,8.51
2013,8.46
2014,7.56
2015,7.85
2016,7.4
2017,7.54
2018,8.12
2019,7.59
2020,7.37
2021,6.96
2022,7.45
2023,7.03
