date,mean autumn Schmidt stability
1957,16268.65
1958,15564.25
1959,19684.24
1960,18970.48
1962,15983.2
1963,16697.55
1964,18663.75
1966,17359.55
1967,12443.88
1968,17122.12
1969,18101.3
1970,17115.84
1971,13417.91
1972,10173.57
1973,16756.33
1974,13907.5
1975,14019.06
1976,16111.49
1977,16666.06
1978,16833.08
1979,18661.24
1980,19206.45
1981,21233.09
1982,16673.78
1983,17889.93
1984,15476.7
1985,15905.56
1986,12398.33
1987,11457.59
1988,13598.25
1989,18853.78
1990,19601.12
1991,19673.35
1992,13482.06
1993,14846.21
1994,14128.97
1995,17318.43
1996,17223.07
1997,18286.31
1998,19311.51
1999,14870.29
2000,20327.7
2001,20078.26
2002,13246.75
2003,16714.75
2004,23857.56
2005,18089.64
2006,19262.27
2008,16824.34
2009,23157.71
2010,19086.54
2011,24117.45
2012,22462.7
2013,22141.0
2014,24424.62
2015,18873.45
2016,14027.31
2017,22934.7
2018,18797.06
2019,20767.05
2020,18968.9
2021,18824.19
2022,23029.03
2023,23908.64
