date,mean autumn Secchi depth
1957,11.27
1958,7.15
1959,8.03
1960,9.64
1961,6.83
1962,7.82
1963,6.91
1964,6.89
1966,7.56
1967,7.61
1968,7.2
1969,5.62
1970,5.41
1971,5.01
1972,7.4
1973,7.51
1974,8.78
1975,7.24
1976,8.7
1977,6.95
1978,4.25
1979,12.27
1980,7.9
1981,6.37
1982,4.9
1983,7.93
1984,6.8
1985,7.32
1986,6.56
1987,6.8
1988,6.37
1989,9.33
1990,6.78
1991,7.25
1992,6.55
1993,5.09
1994,6.19
1995,5.95
1996,5.47
1997,4.69
1998,5.02
1999,7.14
2000,8.9
2001,6.41
2002,5.91
2003,6.22
2004,6.37
2005,8.18
2006,5.46
2007,3.44
2008,7.47
2009,4.28
2010,7.26
2011,7.13
2012,6.55
2013,7.86
2014,7.97
2015,7.66
2016,6.89
2017,8.4
2018,6.74
2019,7.91
2020,6.35
2021,7.64
2023,6.68
