date,mean autumn surface oxygen concentration
1957,8.86
1958,10.44
1959,10.33
1960,9.27
1961,10.29
1962,10.84
1963,10.53
1964,10.0
1966,11.16
1967,10.11
1968,9.65
1969,9.79
1970,11.47
1971,9.43
1972,9.61
1973,9.93
1974,9.85
1975,9.97
1976,10.21
1977,10.04
1978,11.43
1979,9.88
1980,9.31
1981,9.6
1982,10.18
1983,9.82
1984,10.38
1985,10.49
1986,11.07
1987,10.25
1988,10.48
1989,8.98
1990,9.53
1991,9.6
1992,9.59
1993,9.78
1994,9.87
1995,11.06
1996,9.96
1997,10.11
1998,9.63
1999,8.93
2000,8.86
2001,9.61
2002,9.88
2003,9.41
2004,9.78
2005,10.32
2006,9.97
2007,10.05
2008,10.04
2009,10.77
2010,9.79
2011,9.44
2012,9.85
2013,9.45
2014,9.45
2015,9.9
2016,9.29
2017,9.73
2018,9.37
2019,9.97
2020,9.74
2021,9.93
2022,10.16
2023,10.53
