date,mean early autumn hypolimnetic oxygen content
1959,644890.02
1960,632017.11
1962,734532.6
1963,721887.7
1964,717898.88
1965,737550.74
1966,684660.57
1967,655447.88
1968,620609.83
1969,592197.3
1970,680105.16
1971,665094.48
1972,618613.07
1973,642172.49
1974,601167.39
1975,590065.28
1976,530434.41
1977,521349.17
1978,573431.68
1979,634619.24
1980,597640.18
1981,658668.88
1982,639044.88
1983,628121.48
1984,666947.96
1985,690025.72
1986,700746.5
1987,666515.96
1988,624811.16
1989,588118.59
1990,556127.29
1991,577416.11
1992,588876.9
1993,563455.05
1994,572660.77
1995,546330.28
1996,570745.25
1997,549690.36
1998,549654.89
1999,589436.08
2000,628979.08
2001,587366.32
2002,589305.63
2003,602488.23
2004,637881.05
2005,649218.01
2006,684502.56
2007,606449.02
2008,618068.26
2009,645699.43
2010,612926.12
2011,626811.26
2012,641722.44
2013,626221.11
2014,569190.4
2015,602617.49
2016,551151.8
2017,555480.68
2018,614840.83
2019,577416.93
2020,541479.14
2021,543734.7
2022,535669.3
2023,539566.94
