date,mean late autumn bottom oxygen concentration
1970,5.2
1971,5.71
1972,4.55
1973,2.37
1974,2.08
1975,0.52
1976,0.54
1977,0.85
1978,0.13
1979,2.74
1980,3.06
1981,6.67
1982,5.0
1983,4.14
1984,6.03
1985,6.84
1986,6.18
1987,4.63
1988,4.31
1989,2.98
1990,2.84
1991,2.87
1992,2.26
1993,1.48
1994,1.55
1995,1.26
1996,1.36
1997,1.72
1998,1.59
1999,3.94
2000,5.04
2001,3.78
2002,2.74
2003,3.69
2004,4.11
2005,5.98
2006,6.94
2007,4.22
2008,3.78
2009,3.57
2010,4.55
2011,2.76
2012,6.62
2013,5.0
2014,4.22
2015,3.02
2016,2.84
2017,2.38
2018,2.12
2019,2.61
2020,2.41
2021,1.9
2022,1.93
2023,1.57
