date,mean late summer Secchi depth
1957,7.16
1958,6.19
1959,5.49
1960,9.95
1961,6.67
1962,8.36
1963,5.61
1964,7.16
1965,7.38
1966,5.92
1967,5.51
1968,5.39
1969,7.53
1970,6.02
1971,5.44
1972,5.21
1973,6.62
1974,5.03
1975,4.18
1976,4.38
1977,5.79
1978,5.77
1979,5.83
1980,7.99
1981,5.92
1982,5.67
1983,7.01
1984,5.69
1985,4.14
1986,4.52
1987,4.79
1988,4.65
1989,6.35
1990,6.31
1991,5.26
1992,5.28
1993,5.8
1994,6.17
1995,5.55
1996,4.16
1997,6.1
1998,4.87
1999,3.51
2000,4.95
2001,3.88
2002,4.74
2003,3.47
2004,5.76
2005,4.09
2006,5.91
2007,4.53
2008,5.55
2009,6.02
2010,6.45
2011,5.34
2012,3.99
2013,6.02
2014,3.9
2015,6.99
2016,5.77
2017,4.19
2018,5.06
2019,7.68
2020,7.05
2021,6.1
2023,5.21
