date,mean spring epilimnion 5-10 m oxygen concentration
1958,11.46
1959,12.28
1960,12.08
1961,11.69
1962,11.75
1963,11.67
1964,11.79
1965,11.69
1966,13.6
1967,11.99
1968,11.39
1969,11.45
1970,11.82
1971,11.55
1972,11.21
1973,11.55
1974,11.62
1975,11.89
1976,10.73
1977,11.18
1978,11.16
1979,11.13
1980,11.85
1981,11.04
1982,11.87
1983,11.68
1984,12.11
1985,11.69
1986,11.44
1987,12.39
1988,12.47
1989,12.23
1990,12.82
1991,11.74
1992,11.7
1993,11.83
1994,12.06
1995,11.7
1996,11.31
1997,11.76
1998,11.51
1999,11.62
2000,12.32
2001,11.28
2002,12.18
2003,11.75
2004,11.43
2005,11.9
2006,12.15
2007,11.56
2008,11.43
2009,12.68
2010,11.94
2011,11.77
2012,12.09
2013,12.34
2014,12.04
2015,12.0
2016,11.56
2017,11.64
2018,12.77
2019,12.63
2021,12.11
2022,11.16
2023,12.19
