date,mean spring surface oxygen concentration
1958,11.41
1959,11.63
1960,11.98
1961,12.54
1962,11.72
1963,11.98
1964,12.39
1965,11.33
1966,14.94
1967,12.34
1968,11.62
1969,12.22
1970,11.54
1971,13.35
1972,11.19
1973,12.16
1974,11.42
1975,12.19
1976,11.39
1977,12.13
1978,11.32
1979,11.37
1980,12.01
1981,12.77
1982,11.88
1983,11.89
1984,12.13
1985,12.02
1986,11.66
1987,13.2
1988,13.66
1989,13.12
1990,12.7
1991,12.32
1992,12.04
1993,14.18
1994,12.61
1995,12.96
1996,12.9
1997,12.83
1998,11.56
1999,12.33
2000,13.57
2001,11.38
2002,13.33
2003,12.16
2004,11.52
2005,13.94
2006,14.37
2007,13.27
2008,11.73
2009,12.76
2010,12.32
2011,12.5
2012,12.18
2013,12.43
2014,12.1
2015,12.51
2016,11.54
2017,11.38
2018,12.17
2019,12.04
2021,12.06
2022,11.21
2023,12.29
