date,mean summer hypolimnetic oxygen concentration
1957,9.92
1958,9.97
1959,9.44
1960,9.34
1961,9.34
1962,10.56
1963,10.26
1964,9.98
1965,10.14
1966,9.95
1967,9.0
1968,9.07
1969,8.44
1970,9.68
1971,9.55
1972,9.06
1973,8.99
1974,8.48
1975,8.86
1976,7.97
1977,7.57
1978,8.33
1979,9.13
1980,9.04
1981,9.18
1982,9.16
1983,8.89
1984,9.57
1985,9.67
1986,9.78
1987,9.61
1988,9.07
1989,8.52
1990,8.0
1991,8.19
1992,8.21
1993,7.97
1994,7.47
1995,8.15
1996,8.37
1997,8.17
1998,7.99
1999,8.71
2000,9.12
2001,8.18
2002,8.01
2003,8.68
2004,9.01
2005,9.1
2006,10.17
2007,8.73
2008,8.98
2009,9.31
2010,9.23
2011,8.79
2012,9.2
2013,9.18
2014,8.7
2015,8.36
2016,8.11
2017,7.94
2018,8.79
2019,8.17
2020,7.91
2021,7.93
2022,7.79
2023,7.8
