date,mean winter bottom oxygen concentration
1970,4.15
1971,6.39
1972,6.66
1973,4.08
1974,3.95
1975,2.63
1976,2.36
1977,0.85
1978,0.96
1979,2.12
1980,5.45
1981,5.43
1982,6.83
1983,4.7
1985,4.62
1986,7.87
1987,5.35
1988,4.48
1989,3.69
1990,3.68
1991,3.48
1992,2.68
1993,1.11
1994,3.0
1995,2.13
1996,1.25
1997,2.94
1999,2.81
2000,6.0
2001,5.19
2002,4.58
2003,3.18
2005,3.82
2006,6.72
2007,5.67
2008,4.22
2009,4.55
2010,2.93
2011,4.44
2012,4.71
2013,5.71
2014,5.18
2015,4.14
2016,3.3
2017,2.64
2018,3.09
2019,2.89
2020,2.59
2021,2.7
2022,2.16
