date,mean winter epilimnion 5-10 m oxygen concentration
1970,10.15
1971,10.78
1972,10.2
1973,9.96
1974,10.42
1975,10.91
1976,10.23
1977,10.15
1978,10.37
1979,10.08
1980,10.3
1981,9.93
1982,10.31
1983,10.64
1985,10.07
1986,10.65
1987,10.91
1988,10.63
1989,10.73
1990,10.54
1991,10.44
1992,10.25
1993,10.23
1994,10.56
1995,10.26
1996,10.19
1997,10.08
1999,9.84
2000,10.06
2001,10.44
2002,10.09
2003,10.13
2005,10.38
2006,10.55
2007,10.31
2008,10.68
2009,10.2
2010,10.24
2011,10.54
2012,10.3
2013,10.21
2014,10.6
2015,10.11
2016,9.89
2017,9.76
2018,10.11
2019,10.33
2020,10.04
2021,9.91
2022,10.04
