date,mean winter surface oxygen concentration
1970,9.88
1971,10.36
1972,10.39
1973,10.01
1974,10.65
1975,10.6
1976,11.04
1977,10.88
1978,10.74
1979,10.5
1980,10.26
1981,9.95
1982,10.36
1983,10.67
1985,10.0
1986,10.71
1987,10.92
1988,10.59
1989,10.83
1990,10.5
1991,10.44
1992,10.16
1993,10.4
1994,10.62
1995,10.29
1996,10.29
1997,10.06
1999,9.91
2000,10.13
2001,10.38
2002,10.08
2003,10.08
2005,10.34
2006,10.92
2007,9.36
2008,10.47
2009,10.14
2010,10.35
2011,10.58
2012,10.35
2013,10.23
2014,10.55
2015,9.93
2016,9.99
2017,9.81
2018,10.07
2019,10.43
2020,10.04
2021,9.99
2022,10.23
