date,mean winter surface temperature
1970,5.43
1971,5.36
1972,6.18
1973,6.0
1974,6.0
1975,7.0
1976,6.56
1977,5.82
1978,6.2
1979,6.04
1980,6.45
1981,5.65
1982,6.41
1983,6.89
1985,5.46
1986,5.71
1987,5.35
1988,6.91
1989,6.54
1990,7.0
1991,6.41
1992,6.23
1994,6.31
1995,6.83
1996,6.85
1997,6.28
2000,6.39
2001,7.11
2002,6.27
2003,6.72
2005,6.86
2006,6.01
2007,7.52
2008,6.66
2009,6.18
2010,6.61
2011,6.43
2012,6.99
2013,6.73
2014,7.11
2015,7.44
2016,7.71
2017,6.42
2018,7.19
2019,7.47
2020,7.87
2021,7.31
2022,7.54
