date,minimum bottom oxygen concentration
1970,4.0
1971,4.8
1972,3.3
1973,1.6
1974,1.6
1975,0.4
1976,0.3
1977,0.2
1978,0.0
1979,1.7
1980,2.1
1981,4.83
1982,4.69
1983,3.86
1984,5.16
1985,4.37
1986,5.06
1987,4.44
1988,3.61
1989,2.36
1990,2.59
1991,2.3
1992,1.63
1993,0.7
1994,1.25
1995,0.92
1996,1.0
1997,0.7
1998,1.18
1999,1.88
2000,4.28
2001,3.22
2002,2.52
2003,2.9
2004,3.45
2005,3.7
2006,5.57
2007,4.15
2008,3.53
2009,3.45
2010,2.78
2011,2.55
2012,3.52
2013,4.78
2014,3.4
2015,2.8
2016,2.33
2017,1.83
2018,2.03
2019,2.5
2020,1.93
2021,1.78
2022,1.58
2023,1.48
