date,minimum surface temperature
1970,5.2
1971,5.2
1972,5.8
1973,5.4
1974,6.0
1975,6.9
1976,5.9
1977,5.8
1978,5.9
1979,5.9
1980,6.1
1981,5.3
1982,5.9
1983,6.2
1984,5.5
1985,5.2
1986,5.0
1987,5.1
1988,5.6
1989,6.1
1990,6.6
1991,5.9
1992,5.6
1993,5.85
1994,6.0
1995,6.43
1996,6.08
1997,6.18
1998,6.67
1999,5.91
2000,5.99
2001,6.53
2002,6.23
2003,6.11
2004,6.1
2005,5.74
2006,5.38
2008,6.4
2009,5.91
2010,6.24
2011,5.97
2012,5.62
2013,6.06
2014,5.3
2015,6.37
2016,7.14
2017,6.41
2018,6.6
2019,7.27
2020,7.81
2021,7.3
2022,7.43
2023,7.0
