date,mean annual bottom density
1973,1000.2056
1978,1000.2164
1986,1000.2081
1987,1000.2032
1988,1000.1925
1989,1000.1791
1990,1000.1677
1991,1000.1852
1992,1000.1817
1993,1000.1932
1994,1000.185
1995,1000.1781
1996,1000.1923
1999,1000.1861
2000,1000.1791
2001,1000.1661
2002,1000.1727
2003,1000.1957
2004,1000.1926
2005,1000.1924
2006,1000.1999
2007,1000.1792
2008,1000.1909
2009,1000.2016
2010,1000.1922
2011,1000.1915
2012,1000.1927
2013,1000.2005
2014,1000.1841
2015,1000.1858
2016,1000.1708
2017,1000.1831
2018,1000.1852
2019,1000.1718
2020,1000.1616
2021,1000.1811
2022,1000.1807
2023,1000.1566
