date,mean annual heat content
1973,890361994.42
1978,792445825.56
1986,816305359.5
1987,827215847.97
1988,901219893.53
1989,978362036.32
1990,969862934.85
1991,873630968.81
1992,881004701.41
1993,874014084.58
1994,941887106.41
1995,992968695.73
1996,855280041.31
1997,928382135.26
1999,847054425.39
2000,920845524.93
2001,990867426.9
2002,961272922.23
2003,916832381.71
2004,900368564.34
2005,891766624.75
2006,863971179.56
2007,984460314.22
2008,922528130.4
2009,885916788.35
2010,887802610.82
2011,974995519.58
2012,937313917.3
2013,896009694.86
2014,1016236723.39
2015,996110721.13
2016,1037481051.81
2017,1008927972.14
2018,1017191165.91
2019,1063952231.85
2020,1123455327.36
2021,1014565587.18
2022,1100729433.96
2023,1113379742.61
