date,mean autumn epilimnion 5-10 m oxygen concentration
1973,7.11
1976,6.72
1978,6.78
1982,5.49
1985,4.84
1986,7.59
1987,5.36
1988,5.16
1989,6.61
1990,6.53
1991,6.02
1992,5.55
1993,6.39
1994,5.58
1995,5.69
1996,6.54
1997,5.73
1998,7.29
1999,5.02
2000,4.92
2001,6.6
2002,5.71
2003,11.17
2004,9.77
2005,9.02
2006,8.4
2007,7.74
2008,10.24
2009,10.88
2010,13.44
2011,12.44
2012,10.61
2013,14.25
2014,11.24
2015,10.84
2016,11.22
2017,11.21
2018,11.44
2019,10.85
2020,12.4
2021,10.59
2022,10.94
2023,12.04
