date,mean autumn Schmidt stability
1973,861.68
1978,837.61
1982,971.9
1985,1177.1
1986,952.5
1987,897.12
1988,894.43
1989,881.17
1990,997.59
1991,995.45
1992,841.6
1993,796.75
1994,824.14
1995,1089.37
1996,677.03
1997,1006.84
1998,734.88
1999,853.7
2000,873.99
2001,983.93
2002,729.51
2003,882.65
2004,1124.95
2005,1159.25
2006,1176.36
2007,1042.75
2008,909.39
2009,1120.31
2010,1017.85
2011,1351.16
2012,1172.01
2013,1148.28
2014,1398.46
2015,991.47
2016,1037.91
2017,1183.76
2018,1310.96
2019,1289.92
2020,1175.95
2021,1140.06
2022,1448.07
2023,1643.51
