date,mean autumn surface oxygen concentration
1973,9.08
1976,12.3
1978,11.23
1982,9.26
1985,9.26
1986,10.22
1987,9.06
1988,10.35
1989,9.74
1990,10.54
1991,9.7
1992,9.74
1993,10.35
1994,9.13
1995,10.28
1996,11.55
1997,9.66
1998,10.21
1999,9.44
2000,9.67
2001,11.17
2002,9.32
2003,10.37
2004,10.16
2005,11.03
2006,10.67
2007,10.59
2008,10.78
2009,11.06
2010,11.78
2011,10.91
2012,10.27
2013,11.12
2014,10.85
2015,10.86
2016,11.15
2017,11.05
2018,10.5
2019,10.24
2020,10.63
2021,10.42
2022,10.96
2023,11.25
