date,mean early autumn hypolimnetic oxygen concentration
1972,0.25
1973,0.5
1975,1.05
1976,2.83
1978,1.36
1979,1.04
1982,0.96
1985,0.72
1986,3.58
1987,5.76
1988,4.09
1989,4.55
1990,3.58
1991,5.93
1992,3.1
1993,2.68
1994,4.55
1995,3.79
1996,5.3
1997,4.74
1998,3.57
1999,2.34
2000,2.02
2001,0.96
2002,1.71
2003,2.34
2004,2.5
2005,2.5
2006,2.05
2007,0.79
2008,1.59
2009,2.05
2010,4.66
2011,2.86
2012,3.34
2013,4.46
2014,1.4
2015,4.6
2016,2.89
2017,2.81
2018,4.15
2019,3.73
2020,3.08
2021,3.49
2022,3.66
2023,2.44
