date,mean early autumn thermocline depth
1972,10.49
1973,9.78
1975,8.44
1976,8.67
1978,8.46
1979,9.48
1982,8.42
1985,8.4
1986,8.0
1987,6.63
1988,7.78
1989,8.79
1990,8.47
1991,7.82
1992,8.93
1993,8.76
1994,8.23
1995,9.68
1996,8.56
1997,8.53
1998,8.87
1999,6.68
2000,7.77
2001,8.61
2002,8.67
2003,8.76
2004,8.64
2005,9.03
2006,8.45
2007,9.3
2008,9.53
2009,8.86
2010,9.54
2011,9.86
2012,9.39
2013,8.71
2014,10.53
2015,9.49
2016,8.84
2017,10.25
2018,9.3
2019,10.48
2020,9.7
2021,9.57
2022,10.86
2023,10.21
