date,mean summer Schmidt stability
1973,1735.3
1976,2456.59
1978,1665.43
1982,2027.28
1985,1899.43
1986,1789.2
1987,1644.58
1988,1491.66
1989,1974.06
1990,2034.73
1991,1942.58
1992,1910.34
1993,1880.19
1994,2197.48
1995,1905.53
1996,1674.08
1997,1817.01
1998,1963.17
1999,1604.85
2000,1690.74
2001,1809.4
2002,1992.77
2003,2590.51
2004,1970.52
2005,2121.13
2006,2404.45
2007,2071.46
2008,1947.99
2009,2029.19
2010,2255.87
2011,1949.36
2012,2112.34
2013,2099.99
2014,2048.05
2015,2535.36
2016,2224.97
2017,2584.8
2018,2548.9
2019,2194.82
2020,2325.71
2021,2214.31
2022,2892.4
2023,2812.87
