date,mean autumn Schmidt stability
1984,204.2
1985,299.61
1986,269.57
1987,295.79
1988,287.5
1989,358.16
1990,280.91
1991,530.17
1992,274.77
1993,176.61
1994,237.06
1995,173.33
1996,146.47
1997,475.63
1998,272.16
1999,363.27
2000,397.52
2001,335.94
2002,303.43
2003,383.96
2004,360.24
2005,267.85
2006,379.28
2007,195.25
2008,270.44
2009,318.94
2010,274.23
2011,446.16
2012,335.46
2013,369.02
2014,164.87
2015,216.48
2016,436.99
2017,311.29
2018,456.6
2019,446.47
2020,492.11
2021,355.56
2022,473.07
2023,501.12
