date,mean annual bottom density
1989,1000.0243
1990,1000.0234
1991,1000.0267
1992,1000.0246
1993,1000.024
1994,1000.0214
1997,1000.0141
1998,1000.0128
1999,1000.0185
2000,1000.019
2001,1000.0168
2002,1000.015
2003,1000.0134
2004,1000.0156
2005,1000.0247
2006,1000.0305
2007,1000.0304
2008,1000.0271
2009,1000.0258
2010,1000.0234
2011,1000.0227
2012,1000.022
2013,1000.021
2014,1000.0195
2015,1000.0173
2016,1000.0166
2017,1000.0141
2018,1000.0121
2019,1000.0101
2020,1000.0088
2021,1000.0064
2022,1000.0033
2023,1000.001
