date,mean annual heat content
1989,921585802.59
1990,923516000.78
1991,894708154.55
1992,865466222.98
1993,866260765.93
1994,916590125.06
1997,936403849.45
1998,920784219.68
1999,898777238.51
2000,886058931.64
2001,904124391.56
2002,917013118.6
2003,975938544.42
2004,896813106.05
2005,947288347.47
2006,932589418.31
2007,896364610.62
2008,899492105.93
2009,918995304.76
2010,911483998.41
2011,954400610.99
2012,951037275.82
2013,885816007.34
2014,899194781.81
2015,938336364.92
2016,950631723.71
2017,934280277.77
2018,971663434.73
2019,917291192.31
2020,979149196.04
2021,925717990.84
2022,1023962682.91
2023,1004774360.05
