date,mean winter hypolimnetic density
1988,999.9558
1989,999.9949
1990,999.9862
1991,1000.0096
1992,999.9993
1993,1000.0071
1994,999.9852
1997,999.9775
1998,999.9557
1999,999.9929
2000,999.9956
2001,999.9854
2002,999.9965
2003,999.9639
2004,999.9776
2005,999.9868
2006,1000.005
2007,999.9362
2008,999.9693
2009,999.9948
2010,999.9839
2011,999.9949
2012,999.9812
2013,999.9706
2014,999.9886
2015,999.9487
2016,999.9255
2017,999.955
2018,999.9741
2019,999.9542
2020,999.9296
2021,999.9592
2022,999.9593
2023,999.903
