date,mean annual heat content
1982,945066113.71
1983,917489960.23
1984,944711868.8
1999,974234221.02
2000,989653760.53
2001,1006261006.11
2002,1006268070.14
2003,1047318325.67
2004,1011805818.58
2005,1011196372.19
2006,950674982.85
2007,1032687950.68
2008,1001172545.49
2009,1022873533.54
2010,922203548.57
2011,1072379003.89
2012,1038403633.76
2013,948896236.52
2014,1095285023.25
2015,1070080766.51
2016,1026811691.26
2017,1067416344.28
2018,1043733592.32
2019,1055265251.07
2020,1147674681.17
2021,1099336098.47
2022,1104654718.74
2023,1137418131.35
