date,mean autumn Schmidt stability
1958,641.43
1959,828.96
1960,415.48
1982,575.94
1983,729.09
1984,406.06
1986,563.02
1987,602.4
1988,521.16
1989,345.07
1990,554.14
1993,327.67
1994,447.72
1995,588.13
1996,338.21
1997,682.51
1998,397.35
1999,667.87
2000,571.94
2001,588.45
2002,597.2
2003,488.33
2004,815.58
2005,826.94
2006,766.34
2007,674.96
2008,528.59
2009,590.71
2010,393.17
2011,865.36
2012,715.57
2013,656.22
2014,923.44
2015,640.79
2016,507.98
2017,711.03
2018,733.88
2019,622.16
2020,770.0
2021,727.4
2022,789.96
2023,1226.74
