date,mean autumn surface temperature
1958,14.4
1959,15.37
1960,13.15
1961,15.58
1963,13.62
1982,14.2
1983,14.86
1984,13.18
1986,13.52
1987,14.76
1988,14.52
1989,13.72
1990,15.15
1993,12.61
1994,13.75
1995,15.13
1996,13.56
1997,14.96
1998,14.19
1999,15.06
2000,14.51
2001,14.66
2002,13.91
2003,13.31
2004,16.11
2005,15.83
2006,15.62
2007,15.05
2008,14.03
2009,14.64
2010,12.86
2011,16.32
2012,15.31
2013,14.84
2014,17.3
2015,14.74
2016,14.02
2017,15.63
2018,15.36
2019,15.06
2020,16.02
2021,15.77
2022,16.24
2023,18.44
