date,mean spring epilimnion 0-10 m oxygen concentration
1961,13.63
1963,12.83
1982,11.93
1983,12.52
1984,12.93
1985,12.49
1986,12.54
1987,12.26
1988,12.48
1989,12.02
1990,12.33
1991,12.49
1992,12.09
1993,12.86
1994,12.01
1996,10.65
1998,11.19
1999,11.24
2000,11.82
2001,11.83
2002,12.84
2003,13.58
2004,11.68
2005,11.87
2006,13.11
2007,12.81
2008,12.16
2009,13.05
2010,11.79
2011,12.68
2012,12.05
2013,12.91
2014,11.32
2015,11.82
2016,12.23
2017,13.18
2018,12.65
2019,12.24
2020,11.04
2021,11.62
2022,12.43
2023,12.09
