date,mean summer epilimnion 5-10 m oxygen concentration
1961,9.31
1963,10.67
1982,9.62
1983,10.76
1984,9.8
1985,10.15
1986,10.2
1987,9.99
1988,9.54
1989,9.22
1990,10.65
1991,9.99
1992,10.55
1993,9.87
1994,12.28
1995,10.89
1996,10.39
1997,10.96
1998,9.62
1999,11.08
2000,9.57
2001,10.55
2002,10.07
2003,10.31
2004,10.15
2005,10.17
2006,11.01
2007,10.04
2008,9.33
2009,9.4
2010,10.45
2011,10.31
2012,9.37
2013,10.85
2014,9.87
2015,9.8
2016,10.88
2017,9.8
2018,9.61
2019,10.58
2020,9.89
2021,10.46
2022,9.24
2023,9.98
