date,mean summer Schmidt stability
1957,680.77
1958,1150.63
1982,1425.65
1983,1806.66
1984,1385.69
1985,1392.32
1986,1649.53
1987,1007.44
1988,1547.42
1989,1428.46
1990,1520.99
1992,1672.87
1993,1395.24
1994,1997.05
1995,1857.95
1996,1388.83
1997,1171.56
1998,1713.08
1999,1616.4
2000,1288.14
2001,1657.48
2002,1855.62
2003,2208.55
2004,1601.37
2005,1376.19
2006,2305.75
2007,1193.29
2008,1861.98
2009,1739.61
2010,1705.76
2011,1856.07
2012,1658.27
2013,1651.73
2014,1477.26
2015,2186.36
2016,1733.37
2017,1669.95
2018,2015.18
2019,1774.97
2020,1684.96
2021,1616.08
2022,2131.06
2023,2070.77
